ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0050790,regulation of catalytic activity,26/688,73/10114,5.692293482412088e-13,1.9410720775025218e-10,1.5878502871991612e-10,MGG_00446/MGG_00928/MGG_01258/MGG_01472/MGG_01695/MGG_01745/MGG_03064/MGG_03275/MGG_04377/MGG_04520/MGG_04954/MGG_05151/MGG_05379/MGG_05991/MGG_06158/MGG_06390/MGG_06476/MGG_06504/MGG_06905/MGG_07335/MGG_09531/MGG_11178/MGG_11784/MGG_12130/MGG_12336/MGG_14173,26
GO:0003723,RNA binding,43/688,251/10114,1.3656512092788197e-8,2.3284353118203877e-6,1.9047240550467751e-6,MGG_00444/MGG_00481/MGG_00976/MGG_01746/MGG_01781/MGG_02580/MGG_02730/MGG_03017/MGG_03053/MGG_03506/MGG_03572/MGG_04399/MGG_04405/MGG_04621/MGG_04727/MGG_05264/MGG_05307/MGG_05706/MGG_06318/MGG_06334/MGG_06396/MGG_06410/MGG_06481/MGG_06505/MGG_06658/MGG_07147/MGG_07203/MGG_08084/MGG_08693/MGG_08741/MGG_09170/MGG_10192/MGG_11457/MGG_11466/MGG_12301/MGG_12574/MGG_12972/MGG_13154/MGG_13803/MGG_14563/MGG_15600/MGG_16154/MGG_16895,43
GO:0005085,guanyl-nucleotide exchange factor activity,11/688,25/10114,2.4627595223050454e-7,2.7993366570200685e-5,2.2899342926696038e-5,MGG_00928/MGG_01695/MGG_03064/MGG_03275/MGG_05379/MGG_06476/MGG_06905/MGG_11178/MGG_11784/MGG_12336/MGG_14173,11
GO:0035091,phosphatidylinositol binding,10/688,22/10114,6.075272359544583e-7,4.686943153904831e-5,3.834048266043464e-5,MGG_00455/MGG_00852/MGG_00960/MGG_01047/MGG_01434/MGG_01702/MGG_04955/MGG_06628/MGG_11649/MGG_12832,10
GO:0007165,signal transduction,19/688,78/10114,7.666696805150174e-7,4.686943153904831e-5,3.834048266043464e-5,MGG_00211/MGG_00345/MGG_01150/MGG_04377/MGG_05199/MGG_05332/MGG_06390/MGG_06930/MGG_07312/MGG_07517/MGG_08689/MGG_09210/MGG_09531/MGG_09898/MGG_09947/MGG_11174/MGG_12130/MGG_12377/MGG_12709,19
GO:0043130,ubiquitin binding,9/688,18/10114,8.246820798659526e-7,4.686943153904831e-5,3.834048266043464e-5,MGG_00124/MGG_00455/MGG_00852/MGG_01704/MGG_04955/MGG_05379/MGG_05626/MGG_08745/MGG_12163,9
GO:0005622,intracellular anatomical structure,56/688,424/10114,1.0174698436750564e-6,4.956531667045632e-5,4.0545790762990975e-5,MGG_00169/MGG_00211/MGG_00345/MGG_00504/MGG_00852/MGG_00896/MGG_00928/MGG_01586/MGG_01695/MGG_01704/MGG_02493/MGG_02799/MGG_03017/MGG_03064/MGG_03204/MGG_03265/MGG_03313/MGG_03451/MGG_04114/MGG_04377/MGG_04455/MGG_04699/MGG_04878/MGG_04955/MGG_05133/MGG_05287/MGG_05332/MGG_05375/MGG_06005/MGG_06184/MGG_06358/MGG_06390/MGG_06658/MGG_06848/MGG_06883/MGG_06905/MGG_06992/MGG_07312/MGG_07338/MGG_08613/MGG_08689/MGG_08757/MGG_09531/MGG_09701/MGG_09898/MGG_10162/MGG_11174/MGG_11178/MGG_11784/MGG_12336/MGG_12377/MGG_12926/MGG_12972/MGG_13013/MGG_14173/MGG_14517,56
GO:0035556,intracellular signal transduction,11/688,30/10114,2.202933841072019e-6,9.39000549756948e-5,7.681282472159014e-5,MGG_00211/MGG_00345/MGG_03064/MGG_05332/MGG_07312/MGG_08689/MGG_09531/MGG_09898/MGG_11174/MGG_12377/MGG_14517,11
GO:0030479,actin cortical patch,7/688,12/10114,3.830764775275921e-6,1.4514342092989877e-4,1.187313059003648e-4,MGG_00748/MGG_04478/MGG_04616/MGG_05626/MGG_06649/MGG_11243/MGG_12839,7
GO:0003779,actin binding,11/688,33/10114,6.463345163053211e-6,2.204000700601145e-4,1.8029331244306327e-4,MGG_00748/MGG_02802/MGG_04478/MGG_05315/MGG_05626/MGG_06358/MGG_06389/MGG_06649/MGG_11243/MGG_12839/MGG_13013,11
