ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0004674,protein serine/threonine kinase activity,12/66,104/10114,2.2688935297384404e-12,2.926872653362588e-10,2.364425888885322e-10,MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_01822/MGG_06320/MGG_06399/MGG_06760/MGG_09565/MGG_12122/MGG_13401/MGG_15325,12
GO:0016301,kinase activity,15/66,216/10114,5.531587374742102e-12,3.5678738567086555e-10,2.882248158418253e-10,MGG_00446/MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_01822/MGG_06320/MGG_06399/MGG_06760/MGG_07151/MGG_08622/MGG_09565/MGG_12122/MGG_13401/MGG_15325,15
GO:0016310,phosphorylation,15/66,230/10114,1.3680386555091932e-11,5.882566218689531e-10,4.752134277031935e-10,MGG_00446/MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_01822/MGG_06320/MGG_06399/MGG_06760/MGG_07151/MGG_08622/MGG_09565/MGG_12122/MGG_13401/MGG_15325,15
GO:0004672,protein kinase activity,12/66,131/10114,3.6404706024535625e-11,1.1740517692912738e-9,9.484383937971124e-10,MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_01822/MGG_06320/MGG_06399/MGG_06760/MGG_09565/MGG_12122/MGG_13401/MGG_15325,12
GO:0006468,protein phosphorylation,12/66,135/10114,5.2015586716223875e-11,1.342002137278576e-9,1.0841143336644556e-9,MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_01822/MGG_06320/MGG_06399/MGG_06760/MGG_09565/MGG_12122/MGG_13401/MGG_15325,12
GO:0016772,"transferase activity, transferring phosphorus-containing groups",11/66,173/10114,1.2684449605487846e-8,2.727156665179887e-7,2.2030886156899943e-7,MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_06320/MGG_06399/MGG_06760/MGG_09565/MGG_12122/MGG_13401/MGG_15325,11
GO:0106310,protein serine kinase activity,4/66,26/10114,2.2195082795461147e-5,4.0902366865921253e-4,3.3042303710536147e-4,MGG_01795/MGG_01822/MGG_06320/MGG_09565,4
GO:0043022,ribosome binding,3/66,13/10114,7.245062768243614e-5,0.0011682663713792826,9.43764755336997e-4,MGG_01671/MGG_02696/MGG_10565,3
GO:0005622,intracellular anatomical structure,10/66,424/10114,3.871720971573131e-4,0.005549466725921488,0.0044830453355057314,MGG_00501/MGG_01106/MGG_01695/MGG_02824/MGG_03265/MGG_05203/MGG_06480/MGG_08757/MGG_10162/MGG_12958,10
GO:1990939,ATP-dependent microtubule motor activity,2/66,10/10114,0.001824734346747027,0.02353907307303665,0.019015652666100596,MGG_01757/MGG_02425,2
GO:0003777,microtubule motor activity,2/66,13/10114,0.0031231688928575925,0.0366262533798754,0.029587915827071928,MGG_01757/MGG_02425,2
GO:0008017,microtubule binding,2/66,14/10114,0.003628400375343868,0.03900530403494658,0.03150979273324938,MGG_01757/MGG_02425,2
GO:0007018,microtubule-based movement,2/66,15/10114,0.00416904808452324,0.04136978483873061,0.03341989962492314,MGG_01757/MGG_02425,2
GO:0003746,translation elongation factor activity,2/66,17/10114,0.005354718683687135,0.04933990787111717,0.039858432307144843,MGG_02696/MGG_04436,2
